Student_ID,Name,Age,Gender,Grade_Level,Math_Score,English_Score,Science_Score,History_Score,Attendance_Rate,Participation_Rate,Parental_Involvement,Study_Hours_Per_Week,Extracurricular_Activities,Scholarship_Status,Household_Income,School_Funding_Level,Technology_Access,Test_Anxiety_Level,Future_Plans
S0001,Student_1,19,Female,Senior,79,52,90,73,87.52,72.14,Low,32,None,Yes,71291,Medium,Yes,Medium,Job
S0002,Student_2,15,Female,Sophomore,68,44,77,52,90.33,73.62,High,29,Sports,Yes,66654,Low,Yes,Low,Undecided
S0003,Student_3,17,Non-Binary,Senior,49,41,68,68,94.45,65.09,Medium,31,Clubs,Yes,63072,Low,No,Medium,Gap Year
S0004,Student_4,16,Non-Binary,Senior,70,87,50,42,77.08,75.48,Medium,18,Sports,Yes,93807,Medium,No,High,Job
S0005,Student_5,22,Non-Binary,Freshman,91,87,88,70,90.48,65.26,Low,32,None,Yes,90653,Medium,Yes,High,Undecided
S0006,Student_6,15,Female,Senior,87,55,48,57,77.93,65.48,Low,38,Sports,No,92326,High,No,Medium,Gap Year
S0007,Student_7,19,Non-Binary,Junior,49,42,78,63,96.91,70.46,High,18,None,Yes,38547,Low,Yes,High,Job
S0008,Student_8,16,Female,Junior,48,51,86,63,87.8,76.89,Low,21,None,No,60734,Low,No,High,Gap Year
S0009,Student_9,22,Male,Junior,54,73,83,87,75.8,63.49,Medium,23,Arts,Yes,51264,Medium,Yes,Low,College
S0010,Student_10,19,Female,Freshman,68,78,49,91,98.55,77.46,Low,38,None,No,28200,High,No,High,Gap Year
S0011,Student_11,25,Non-Binary,Senior,57,82,88,98,79.82,97.4,Medium,36,None,No,59959,Medium,Yes,High,Job
S0012,Student_12,24,Female,Junior,55,75,53,81,92.73,89.16,Medium,29,Sports,No,30165,High,No,Medium,Undecided
S0013,Student_13,24,Non-Binary,Junior,66,77,42,97,96.24,61.93,Medium,13,Clubs,No,86660,Low,No,Medium,Job
S0014,Student_14,25,Female,Senior,85,87,81,57,96.61,91.59,Low,6,Clubs,Yes,29361,High,No,Low,Gap Year
S0015,Student_15,17,Female,Senior,65,61,73,85,95.51,81.09,Medium,22,None,Yes,70370,Medium,Yes,High,Undecided
S0016,Student_16,25,Female,Senior,84,91,100,96,80.23,69.51,Low,33,None,Yes,61783,High,No,Medium,College
S0017,Student_17,21,Non-Binary,Senior,82,66,97,81,84.35,71.55,High,12,Clubs,Yes,76220,Low,Yes,Medium,Gap Year
S0018,Student_18,17,Male,Sophomore,52,64,72,44,79.73,95.87,High,33,Sports,Yes,34924,Medium,Yes,High,Undecided
S0019,Student_19,15,Male,Senior,49,61,45,52,91.51,88.33,Medium,16,None,No,86876,Medium,Yes,Low,Undecided
S0020,Student_20,25,Male,Senior,76,52,100,80,76.54,96.06,Medium,26,Arts,Yes,89427,High,No,High,Undecided
S0021,Student_21,24,Non-Binary,Sophomore,42,96,85,66,94.93,88.22,Low,20,Arts,No,56033,Low,No,High,Job
S0022,Student_22,20,Non-Binary,Freshman,68,79,87,68,80.67,94.93,Medium,21,Clubs,No,23675,Low,No,Medium,Undecided
S0023,Student_23,19,Male,Sophomore,66,54,89,94,87.59,75.26,Medium,33,None,Yes,51877,Low,No,High,College
S0024,Student_24,24,Female,Sophomore,76,93,53,67,96.2,74.81,High,22,Sports,No,99826,Medium,Yes,Medium,Undecided
S0025,Student_25,22,Male,Senior,81,50,92,49,79.46,60.42,Low,13,None,No,47995,High,No,Low,Undecided
S0026,Student_26,25,Non-Binary,Freshman,78,55,43,49,82.73,88.14,Medium,10,None,No,46799,Low,No,High,Job
S0027,Student_27,18,Male,Sophomore,99,89,55,94,89.1,60.04,High,20,Sports,No,73048,Low,Yes,Low,Gap Year
S0028,Student_28,18,Male,Senior,86,43,81,61,88.47,66.38,Medium,22,Arts,Yes,82974,Medium,No,Low,Job
S0029,Student_29,19,Male,Sophomore,92,64,53,47,97.1,70.42,High,31,Arts,No,36496,Medium,Yes,Low,College
S0030,Student_30,17,Female,Freshman,66,56,51,54,87.21,96.45,High,22,Arts,No,54478,High,Yes,High,College
S0031,Student_31,22,Female,Junior,68,46,67,100,80.63,60.02,High,37,Sports,No,70128,Low,No,High,College
S0032,Student_32,16,Male,Junior,47,77,64,99,83.76,73.5,Medium,27,Clubs,Yes,36975,High,Yes,High,Job
S0033,Student_33,25,Male,Freshman,64,77,70,87,96.33,75.91,Low,20,Clubs,Yes,25162,Medium,No,High,Job
S0034,Student_34,16,Male,Junior,76,99,58,44,96.41,75.78,High,30,Clubs,No,87908,Medium,No,Medium,College
S0035,Student_35,22,Male,Freshman,59,61,74,98,86.43,60.09,Low,27,Arts,No,98034,High,Yes,High,Gap Year
S0036,Student_36,18,Male,Sophomore,61,75,63,63,96.22,93.32,Medium,39,Sports,No,78145,Low,No,High,Job
S0037,Student_37,19,Female,Junior,46,59,63,43,81.21,94.98,High,15,Arts,Yes,78364,High,No,High,Undecided
S0038,Student_38,21,Non-Binary,Junior,45,50,49,80,82.5,91.3,High,32,Sports,No,57023,High,Yes,High,Undecided
S0039,Student_39,19,Female,Sophomore,51,55,80,74,89.8,70.28,Low,37,None,No,33985,Medium,Yes,High,Undecided
S0040,Student_40,25,Non-Binary,Junior,63,60,79,84,99.76,60.92,High,5,Arts,Yes,30023,Low,No,Medium,Job
S0041,Student_41,25,Non-Binary,Sophomore,80,99,82,82,91.39,76.83,Low,28,Arts,No,42663,High,No,Medium,Undecided
S0042,Student_42,16,Non-Binary,Freshman,63,48,41,52,88.57,61.44,Low,27,Clubs,No,59936,High,No,Medium,Undecided
